Address,Permit No,Lat,Long,Description,Link,Issued
540-550 Lonsdale Street MELBOURNE VIC 3000,-37.8139228,144.9562364,TP-2013-448,Carry out development including rooftop addition and use land for child care centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197596,Yes
280-294 Little Lonsdale Street MELBOURNE VIC 3000,-37.81142,144.960819,TP-2013-437,Subdivision in accordance with PS624531N Stage 1.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197456,Yes
189-191 Bourke Street MELBOURNE VIC 3000,-37.813169,144.967763,TP-2013-438,Partial demolition of existing shopfront and construction of alterations and additions to shopfront and erection of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197459,Yes
264-266 Swanston Street MELBOURNE VIC 3000,-37.811807,144.965146,TP-2013-439,Installation of new roof covering to timber pergola,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197463,No
17 Park Drive PARKVILLE VIC 3052,-37.797025,144.952847,TP-2013-441,"Partial demolition of ground floor to rear of existing dwelling, demolition of first floor to existing dwelling and construction of alterations and additions to ground and first floors of dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197470,Yes
35 Lothian Street NORTH MELBOURNE VIC 3051,-37.80328,144.944165,TP-2013-442,"Partial demolition, alterations and additions to the existing dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197471,No
Tomasetti House 277-279 Flinders Lane MELBOURNE VIC 3000,-37.817241,144.965299,TP-2014-548,Use of the land for the purpose of a dance school,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216050,Yes
63 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.804581,144.951922,TP-2014-549,Alterations to rear of dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216058,Yes
191-199 Racecourse Road KENSINGTON VIC 3031,-37.7886921,144.9346596,TP-2014-550,Change of use to leisure and recreation (karate/fitness centre) with associated display of business identification signage and reduction to car parking,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216059,Yes
152 Canning Street CARLTON VIC 3053,-37.794853,144.973723,TP-2014-551,Part demolition and alterations and additions to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=191082,Yes
108 Millswyn Street SOUTH YARRA VIC 3141,-37.834835,144.98085,TP-2014-545,2 lot subdivision of PS348962W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215958,No
17 Park Drive PARKVILLE VIC 3052,-37.797025,144.952847,TP-2013-441/A,"Partial demolition of ground floor to rear of existing dwelling, demolition of first floor to existing dwelling and construction of alterations and additions to ground and first floors of dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215914,Yes
264-266 Russell Street MELBOURNE VIC 3000,-37.8104001,144.9670924,TP-2014-544,Display of business identification signage and alterations to the entranceway of the building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215943,Yes
MELBOURNE,28.0836269,-80.6081089,TP-2014-540,To display two promotional signs on the existing tram shelters. The promotional signs will be displayed next to existing advertising signage. Existing signage at this stop includes 2 x 2sqm internally illuminated advertising lightboxes.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215869,No
MELBOURNE,28.0836269,-80.6081089,TP-2014-543,To display one promotional sign on the existing bus shelter. The promotional sign will be displayed next to existing advertising signage. Existing signage at this stop includes 1 x 2sqm internally illuminated advertising lightbox.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215872,No
Rialto Towers 505-535 Collins Street MELBOURNE VIC 3000,-37.8187365,144.9574919,TP-2013-372/A,Partial demolition of existing buildings and works and construction of new buildings and works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215878,Yes
19-23 Adams Street SOUTH YARRA VIC 3141,-37.8363737,144.9773505,TP-2013-610,Partial demoltion and replacement of existing external staircase,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198978,Yes
23 Parsons Street KENSINGTON VIC 3031,-37.7899542,144.9327595,TP-2013-611,"Demolish the existing dwelling, construct three new dwellings and a reduction in car parking",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198979,Yes
Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,-37.8100247,144.9633992,TP-2013-612,Erect and display an internally illuminated business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198980,Yes
376-390 Collins Street MELBOURNE VIC 3000,-37.816297,144.961721,TP-2013-613,Proposed increase of commercial office floor area on Level 6,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198984,Yes
32-36 Domain Street SOUTH YARRA VIC 3141,-37.836454,144.978798,TP-2013-614,Subdivision in accordance with PS721455L,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199001,Yes
20 Vale Street South EAST MELBOURNE VIC 3002,-37.819157,144.9891,TP-2013-615,Demoltion and replacement of a rear gate,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199021,No
208-214 Elgin Street CARLTON VIC 3053,-37.796887,144.967101,TP-2013-603,Subdivision in accordance with PS719639N,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198892,No
394 Cardigan Street CARLTON VIC 3053,-37.795046,144.966797,TP-2013-604,Partial demolition of two existing skylights and construction of alterations and additions for two new skylights,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198917,Yes
"Unit 3, 313-327 Arden Street KENSINGTON VIC 3031",-37.7992292,144.9344907,TP-2013-605,Use of the site as a restricted recreation facility (personal training studio),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198920,Yes
42-48 Dudley Street WEST MELBOURNE VIC 3003,-37.808593,144.953688,TP-2013-606,Demolition of a brick wall,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198945,Yes
42-56 Franklin Street MELBOURNE VIC 3000,-37.8079076,144.960982,TPS-2013-7,Installation of shade sail at rear of site,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196680,No
115 Palmerston Street CARLTON VIC 3053,-37.796659,144.971243,TP-2013-375,Carport and storage area to rear of property,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196509,Yes
64 Mason Street SOUTH YARRA VIC 3141,-37.836105,144.981132,TP-2013-376,"Partial demolition, alterations and two storey addition to the existing dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196570,Yes
522-534 Collins Street MELBOURNE VIC 3000,-37.8183692,144.9563019,TP-2013-377,Buildings and works to the plant room and construction and display of four high wall internally illuminated signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196580,No
329-351 Arden Street KENSINGTON VIC 3031,-37.7991038,144.9333958,TP-2013-378,Proposed alterations to existing warehouse and inclusion of additional office use and reduction in the number of car spaces required,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196586,Yes
696-708 Elizabeth Street MELBOURNE VIC 3000,-37.802093,144.958052,TP-2013-379,"Part demolition, construction of a multistorey mixed use development, use of the site as a shop, office and restaurant, and a reduction in car parking",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196591,No
29-33 Little Errol Street NORTH MELBOURNE VIC 3051,-37.803912,144.950055,TP-2013-380,Buildings and works for the installation of artwork on the building facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196592,Yes
72 Stubbs Street KENSINGTON VIC 3031,-37.791422,144.935302,TP-2012-651/B,"Amendment to permit and plans for the sale and consumption of liquor, increase in patron numbers and increase in hours of operation",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196594,No
162-168 Collins Street MELBOURNE VIC 3000,-37.814505,144.967846,TP-2013-371,Repainting of existing facade and erection of building identification signage and business idenfication signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196448,Yes
Rialto Towers 505-535 Collins Street MELBOURNE VIC 3000,-37.8187365,144.9574919,TP-2013-372,Partial demolition of existing buildings and works and construction of new buildings and works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196449,Yes
172-192 Flinders Street MELBOURNE VIC 3000,-37.816749,144.968492,TP-2014-964,Proposed street art mural fronting Rutledge lane,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223025,Yes
32-44 Flinders Street MELBOURNE VIC 3000,-37.8152159,144.9732038,TP-2014-965,Proposed replacement and upgrade to existing electronic and internally illuminated signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223027,No
University of Melbourne 156-292 Grattan Street PARKVILLE VIC 3010,-37.7999598,144.9605636,TP-2014-966,Use of part of the land for the purposes of shop and restaurant and buildings and works within the Tree Protection Zone and a reduction in the car parking and bicycle facilities requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223030,No
323 Lygon Street CARLTON VIC 3053,-37.7977745,144.9671204,TP-2014-967,increase operating hours for the sale and consumption of liquor from 11pm to 1am and increase patron numbers to a maximum of 100,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223031,Yes
27-29 Elizabeth Street MELBOURNE VIC 3000,-37.8174992,144.9643431,TP-2014-968,Display of signage and minor alterations to the facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223033,No
233-239 Collins Street MELBOURNE VIC 3000,-37.816198,144.966301,TP-2014-969,Proposed demolition of rear section of column,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223034,No
RMIT University 100-186 La Trobe Street MELBOURNE VIC 3000,-37.8089743,144.9652716,TP-2014-970,Part demolition and construction of alterations to the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223037,Yes
317-321 Walsh Street SOUTH YARRA VIC 3141,-37.830207,144.986053,TP-2014-971,Alterations and additions to existing dwelling at 321 Walsh Street. Demolition of existing dwelling at 323 Walsh Street and construction of a two storey building with a roofdeck to form one dwelling with the existing building at 321 Walsh Street.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223039,Yes
86 George Street EAST MELBOURNE VIC 3002,-37.81529,144.987435,TP-2014-952,Subdivision of PS733621D,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222895,Yes
61-63 Little Palmerston Street CARLTON VIC 3053,-37.7965693,144.9695724,TP-2014-953,Partial demolition and construction of alterations and additions to existing dwelling with associated increase to car parking,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222909,No
250-254 Flinders Street MELBOURNE VIC 3000,-37.817343,144.965913,TP-2014-593,Proposed installation of air conditioning unit,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216708,No
The Mark On Collins Apartments 319-325 Collins Street MELBOURNE VIC 3000,-37.8168437,144.9636298,TP-2014-605,Proposed electronic advertising sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216863,Yes
119-121 Howard Street NORTH MELBOURNE VIC 3051,-37.8041776,144.9538528,TP-2011-522/B,"Use of land as a convenience restaurant and for sale and consumption of liquor under a restaurant and cafe licence, external alterations, waiver of car parking requirements and business identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216614,No
"Suite 102, Level 1 517 Flinders Lane MELBOURNE VIC 3000",-37.819482,144.956886,TP-2014-587,2 lot subdivision of SP034396C,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216507,Yes
48 Story Street PARKVILLE VIC 3052,-37.796579,144.955757,TP-2012-396/A,"Partial demolition, construction of a double storey extension to the rear of the existing dwelling and external re-painting",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216529,Yes
10 Elm Place NORTH MELBOURNE VIC 3051,-37.8035754,144.9459613,TP-2014-583,Construction of a new three storey dwelling with a roof deck,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216494,No
18 Elm Place NORTH MELBOURNE VIC 3051,-37.8035754,144.9459613,TP-2014-586,Construction of a new three storey dwelling with roof terrace,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216496,No
River View House 274-282 Flinders Street MELBOURNE VIC 3000,-37.817363,144.965001,TP-2014-584,Alterations to existing shop front,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216501,Yes
309-311 Little Collins Street MELBOURNE VIC 3000,-37.8150856,144.9644269,TP-2014-585,Internally illuminated business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216502,No
334-342 City Road SOUTHBANK VIC 3006,-37.8279062,144.9577374,TPM-2014-24,"Proposed demolition, constrction and use of land as a hotel (previously lodged as PA-2014-111)",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216298,No
2-20 Drewery Place MELBOURNE VIC 3000,-37.8112655,144.9638095,TP-2013-684,Buildings and works (construction of two retractable canopies) associated with a section 2 use,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200080,No
Substation 651-669 Lonsdale Street MELBOURNE VIC 3000,-37.815299,144.952882,TP-2013-682,Partial demolition and building and works to the facade on the north and west elevations,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200083,Yes
291-293 Elizabeth Street MELBOURNE VIC 3000,-37.811792,144.961709,TP-2013-683,Alterations to the existing shopfront to install new windows and signage and installation of an exhaust fan on the roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200085,Yes
427-431 St Kilda Road MELBOURNE VIC 3004,-37.838542,144.977192,TP-2013-685,Building and works to existing building including construction of a vent air grill,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200095,Yes
477-479 St Kilda Road MELBOURNE VIC 3004,-37.841881,144.978556,TP-2013-686,Buildings and works to replace section of high level window with louvres and tinted glass,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201297,No
312-318 La Trobe Street MELBOURNE VIC 3000,-37.810035,144.959875,TP-2013-687,Erect and display temporary non-illuminated real estate advertising signage to a temporary hoarding,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201300,Yes
209-221 Little Collins Street MELBOURNE VIC 3000,-37.814279,144.9668105,TP-2013-676,Construct and display an internally illuminated business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200037,No
76 Simpson Street EAST MELBOURNE VIC 3002,-37.8147197,144.9884757,TP-2013-677,Partial demolition and buildings and works to construct a new brick fence and access door to the rear of existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200040,No
Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,-37.8171316,144.9653891,TP-2013-678,Construct and carry out works including external alterations to the ground level facade of the existing building and rooftop building services,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200041,No
127-141 A'Beckett Street MELBOURNE VIC 3000,-37.810035,144.959875,TPM-2013-25,Demolition and construction of a 65 storey residential tower with ground floor mixed use.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200043,No
6-30 Tyne Street CARLTON VIC 3053,-37.797914,144.966909,TP-2014-174,Part demolition and buildings and works to existing two storey townhouse and new rooftop area,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209663,Yes
Flinders Wharf Apartments 40-66 Siddeley Street DOCKLANDS VIC 3008,-37.822587,144.9524496,TPS-2014-9,Installation of exhaust duct to ground floor,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209507,No
Royal Freemasons Homes Of Victoria 31-75 Moubray Street MELBOURNE VIC 3004,-37.8482613,144.9841212,TP-2014-162,Supporting poles and two shade sails,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209508,Yes
222-260 Elizabeth Street MELBOURNE VIC 3000,-37.8123157,144.962377,TP-2014-163,Construction and display of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209509,Yes
22-26 Corrs Lane MELBOURNE VIC 3000,-37.811015,144.968333,TP-2014-166,"Erection and display of internally and externally illuminated business identification signage, alterations to the existing building to allow for a graphic and construction of an awning over the entry door and four light poles",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209551,Yes
278 Cardigan Street CARLTON VIC 3053,-37.798288,144.966124,TP-2014-167,"Renovation to existing 2-storey masonry dwelling including enclosure of rear verandah to form meals area, partial demolition of heritage fabric, works to the front facade, external works to the bathroom and external painting.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209566,Yes
19-21 Leveson Street NORTH MELBOURNE VIC 3051,-37.804474,144.950594,TP-2007-678/B,"To amend the description of what the permit allows to 'Use of the land as a food and drink premises and for the sale and consumption of liquor (on-premises liquor licence) with ancillary training facility and office, the display of business identification signage, a reduction in the car parking, bicycle facility and loading bay requirements and carry out works to the existing building' and include 3 Raglan Street within the permit address;  Delete Condition 3 in relation to loading and unloading requirements and amend Condition 10 to increase patrons on site from 50 to 60;  An extension to the red line area where liquor can be sold and consumed and amendments to the endorsed plans",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209579,Yes
2-6 High Street NORTH MELBOURNE VIC 3051,-37.799823,144.953993,TP-2002-105/A,"Amend the permit preamble to delete reference to Student Accommodation use and include reference to reduction in carparking requirements (Clause 52.06), deletion of premit conditions 5(b), 5 (c) and 6 and amend the Section 173 agreements (title reference: AB901791L 25/02/2003)",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209413,No
479-481 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.7983292,144.9442508,TP-2014-164,"Partial demolition, external alterations, and an addition to the rear of the existing dwelling.Planning Permit letter returned.  Re addressed to Michael Leuner and sent 14/08/2014",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209417,Yes
11 O'Shanassy Street NORTH MELBOURNE VIC 3051,-37.8005995,144.9508312,TP-2014-165,Replacement of existing window,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209431,Yes
107-109 Drummond Street CARLTON VIC 3053,-37.804123,144.967487,TP-2015-279,"Partial demolition and external alterations to existing buildng, reduction of the car parking requirements for part use of the site as cafe/restaurnat and waiver of the loading and unloading facilties requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231277,No
64-90 Sutton Street NORTH MELBOURNE VIC 3051,-37.7919534,144.9382626,TP-2009-631/A,Amend Condition 4 of the existing licensed cafe permit to increase maximum patron numbers from 150 to 300 and a reduction in the standard car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231342,No
239-293 Wellington Parade South EAST MELBOURNE VIC 3002,-37.8173832,144.9883438,TP-2015-271,2 Lot Subdivision of PS548192G,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231231,Yes
239-293 Wellington Parade South EAST MELBOURNE VIC 3002,-37.8173832,144.9883438,TP-2015-272,2 Lot Subdivision of PS548192G,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231236,Yes
Telstra Exhibition Exchange 288-326 Exhibition Street MELBOURNE VIC 3000,-37.808303,144.970128,TP-2014-1060/A,"Submission of substitute plans for sheets TP 102, 103, 104 & 105 endorsed under original permit.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231250,No
National@Docklands 788-812 Bourke Street DOCKLANDS VIC 3008,-37.8187804,144.9442644,TPS-2015-12,Revised entry paving scheme. Replacement of existing metal grilles and timber surfaces with mixed stone pavers.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231253,No
517-537 Flinders Lane MELBOURNE VIC 3000,-37.819884,144.956608,TP-2014-564/A,"Amend Level 2 floor plan to equal Level 3. Elevation plan, showing installation of 3 new windows.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231256,Yes
100-102 Bouverie Street CARLTON VIC 3053,-37.80405,144.962137,TP-2015-273,"Construction of a multi storey mixed use development, a reduction in the standard car parking requirements and waiver of loading requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231101,No
156-160 Elgin Street CARLTON VIC 3053,-37.797076,144.969333,TP-2015-266,Use the premises for the sale and consumption of liquor (Restaurant and Caf̩ Licence),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231179,Yes
99-109 Lygon Street CARLTON VIC 3053,-37.804404,144.965881,TP-2015-267,"Increase in the area that liquor is allowed to be supplied in association with a new bottle shop, buildings and works to the front facade and the display of business identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231190,No
285-287 La Trobe Street MELBOURNE VIC 3000,-37.810747,144.960829,TP-2014-679,427 lot subdivision of PS7113786 Stage 1,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218007,No
276-282 City Road SOUTHBANK VIC 3006,-37.826455,144.959117,TP-2014-680,115 lot subdivision of PS713026G,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218022,Yes
39-45 Marne Street SOUTH YARRA VIC 3141,-37.835865,144.983698,TP-2014-681,9 lot subdivision of PS710009X,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218087,Yes
199 Peel Street NORTH MELBOURNE VIC 3051,-37.802948,144.956153,TP-2014-666,"remove Easement E-1 on PC 374472G, remove Easement E-1 on PC 374473E and to create new Easement E-1",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218053,Yes
University of Melbourne 156-292 Grattan Street PARKVILLE VIC 3010,-37.7999598,144.9605636,TP-2014-667,"Use of part of level 1 of existing building as an office exceeding 250 square metres in leaseable floor area, buildings and works to carry out partial demolition,  external alterations and reduction in the car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218056,Yes
71 Station Street CARLTON VIC 3053,-37.795854,144.973961,TP-2014-668,Partial demoltion and construction of alterations and additions to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218057,Yes
160 Powlett Street EAST MELBOURNE VIC 3002,-37.810462,144.986532,TP-2014-669,Minor demolition and alterations and additions to single dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218058,Yes
499-511 Swanston Street MELBOURNE VIC 3000,-37.8068195,144.962122,TP-2014-670,Display of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218061,Yes
11 Pitt Street CARLTON VIC 3053,-37.796028,144.972621,TP-2014-671,Part demolition and construction of alterations and additions to existing dwelling and fencing,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218062,Yes
Eureka Tower 3-7 Riverside Quay SOUTHBANK VIC 3006,-37.8216314,144.964634,TP-2014-672,Display of new business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218063,Yes
87-89 Mason Street SOUTH YARRA VIC 3141,-37.8364445,144.9808261,TP-2012-197/A,Construction of alterations to existing dwelling and front fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203275,No
497-503 St Kilda Road MELBOURNE VIC 3004,-37.843317,144.979076,TPM-2013-23,"Use and development of the land for dwellings, alteration of access in a Road Zone Category 1 and a reduction in the statutory car parking requirements (DTPLI ref 2013/008668)",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=202638,Yes
